name,Bureau/Service,BSID,bureauservice_id,Strand,SID,strand_id,shortname,created_by,updated_by,deleted_by
Quality Assurance Division (QAD-NEAP),National Educators Academy of the Philippines (NEAP),12,12,Governance and Operations,4,4,QAD,,,
Office of the Director - National Educators Academy of the Philippines (NEAP),National Educators Academy of the Philippines (NEAP),12,12,Governance and Operations,4,4,OD,,,
Project Development Division (PDD-PMS),Project Management Service (PMS),15,15,Governance and Operations,4,4,PDD,,,
Project Management Division (PMD-PMS),Project Management Service (PMS),15,15,Governance and Operations,4,4,PMD,,,
Office of the Director - Project Management Service (PMS),Project Management Service (PMS),15,15,Governance and Operations,4,4,OD,,,
Asset Management Division (AMD-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,AMD,,,
Cash Division (CD-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,CD,,,
Education Facilities Division (EFD-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,EFD,,,
General Services Division (GSD-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,GSD,,,
Personnel Division (PD-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,PD,,,
Records Division (RD-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,RD,,,
Medical Clinic (MC-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,MC,,,
Library Unit (LU-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,LU,,,
Building Facilities and Maintenance Unit (BFMU-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,BFMU,,,
Baguio Teachers Camp (BTC-AS),Administrative Service (AS),1,1,Finance and Administration,3,3,BTC,,,
Accounting Division (AD-FS),Finance Service (FS),8,8,Finance and Administration,3,3,AD,,,
Budget Division (BD-FS),Finance Service (FS),8,8,Finance and Administration,3,3,BD,,,
Employee Account Management Division (EAMD-FS),Finance Service (FS),8,8,Finance and Administration,3,3,EAMD,,,
BAC Secretariat Division (BACSD-Proc.S),Procurement Service (Proc.S),14,14,Finance and Administration,3,3,BACSD,,,
Contract Management Division (CMD-Proc.S),Procurement Service (Proc.S),14,14,Finance and Administration,3,3,CMD,,,
Procurement Planning and Management Division (PPMD-Proc.S),Procurement Service (Proc.S),14,14,Finance and Administration,3,3,PPMD,,,
Investigation Division (ID-LS),Legal Service (LS),11,11,Legal and Legislative Affairs,5,5,ID,,,
Legal Division (LD-LS),Legal Service (LS),11,11,Legal and Legislative Affairs,5,5,LD,,,
Legislative Liaison Office (LLO-LS),Legal Service (LS),11,11,Legal and Legislative Affairs,5,5,LLO,,,
Sites Titling Office (STO-LS),Legal Service (LS),11,11,Legal and Legislative Affairs,5,5,STO,,,
Disaser Risk Reduction and Management Service (DRRMS),Not Applicable,17,17,Strategic Management,7,7,DRRMS,,,
External Partnerships Service (EPS),Not Applicable,17,17,Strategic Management,7,7,EPS,,,
Solutions Development Division (SDD-ICTS),Information and Communications Technology Service (ICTS),9,9,Strategic Management,7,7,SDD,,,
Technology Infrastructure Division (TID-ICTS),Information and Communications Technology Service (ICTS),9,9,Strategic Management,7,7,TID,,,
User Support Division (USD-ICTS),Information and Communications Technology Service (ICTS),9,9,Strategic Management,7,7,USD,,,
Office of the Director - Information and Communications Technology Service (ICTS),Information and Communications Technology Service (ICTS),9,9,Strategic Management,7,7,OD,,,
Educational Management Information System Division (EMISD-PS),Planning Service (PS),13,13,Strategic Management,7,7,EMISD,,,
Planning and Programming Division (PPDPS),Planning Service (PS),13,13,Strategic Management,7,7,PPD,,,
Policy Research and Development Division (PRDD-PS),Planning Service (PS),13,13,Strategic Management,7,7,PRDD,,,
Office of the Director - Planning Service (PS),Planning Service (PS),13,13,Strategic Management,7,7,OD,,,
Communications Division (CD-PAS),Public Affairs Service (PAS),16,16,Strategic Management,7,7,CD,,,
Publications Division (PD-PAS),Public Affairs Service (PAS),16,16,Strategic Management,7,7,PD,,,
Office of the Director - Public Affairs Service (PAS),Public Affairs Service (PAS),16,16,Strategic Management,7,7,OD,,,
Teacher Education Council Secretariat (TECS),Not Applicable,17,17,Office of the Secretary,6,6,TECS,,,
Literacy Coordinating Council Secretariat (LCCS),Not Applicable,17,17,Office of the Secretary,6,6,LCCS,,,
Management Audit Division (MAD-IAS),Internal Audit Service (IAS),10,10,Office of the Secretary,6,6,MAD,,,
Operations Audit Division (OAD-IAS),Internal Audit Service (IAS),10,10,Office of the Secretary,6,6,OAD,,,
Office of the Director - Internal Audit Service (IAS),Internal Audit Service (IAS),10,10,Office of the Secretary,6,6,OD,,,
Office of the Secretary,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Undersecretary - CI,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Undersecretary - GO,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Undersecretary - FA,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Undersecretary - LLA,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Assistant Secretary - CI,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Assistant Secretary - GO,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Assistant Secretary - FA,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Assistant Secretary - LLA,Not Applicable,17,17,Executive Committee,2,2,,,,
Office of the Undersecretary - Planning and Field Operations,Not Applicable,17,17,Executive Committee,2,2,,,,
